No,File Name,Relative Path,Purpose
43,category_restaurant_controller.dart,lib/controllers/category_restaurant_controller.dart,Category-based restaurant logic
44,change_language_controller.dart,lib/controllers/change_language_controller.dart,Language change logic
45,chat_controller.dart,lib/controllers/chat_controller.dart,Chat functionality
46,coupon_controller.dart,lib/controllers/coupon_controller.dart,Coupon management
47,customer_support_controller.dart,lib/controllers/customer_support_controller.dart,Customer support logic
48,dash_board_controller.dart,lib/controllers/dash_board_controller.dart,Dashboard logic
49,dine_in_booking_controller.dart,lib/controllers/dine_in_booking_controller.dart,Dine-in booking logic
50,dine_in_booking_details_controller.dart,lib/controllers/dine_in_booking_details_controller.dart,Dine-in booking details logic
51,dine_in_controller.dart,lib/controllers/dine_in_controller.dart,Dine-in restaurant logic
52,dine_in_restaurant_details_controller.dart,lib/controllers/dine_in_restaurant_details_controller.dart,Dine-in restaurant details logic
53,discount_restaurant_list_controller.dart,lib/controllers/discount_restaurant_list_controller.dart,Discounted restaurant list logic
54,edit_profile_controller.dart,lib/controllers/edit_profile_controller.dart,Edit profile logic
55,favourite_controller.dart,lib/controllers/favourite_controller.dart,Favourite items logic
56,forgot_password_controller.dart,lib/controllers/forgot_password_controller.dart,Forgot password logic
57,gift_card_controller.dart,lib/controllers/gift_card_controller.dart,Gift card management
58,gift_cards_model.dart,lib/controllers/gift_cards_model.dart,Gift card data model
59,global_setting_controller.dart,lib/controllers/global_setting_controller.dart,Global settings logic
60,history_gift_card_controller.dart,lib/controllers/history_gift_card_controller.dart,Gift card history logic
61,home_controller.dart,lib/controllers/home_controller.dart,Home screen logic
62,live_tracking_controller.dart,lib/controllers/live_tracking_controller.dart,Order live tracking logic
63,location_permission_controller.dart,lib/controllers/location_permission_controller.dart,Location permission logic
64,map_view_controller.dart,lib/controllers/map_view_controller.dart,Map view logic
65,my_profile_controller.dart,lib/controllers/my_profile_controller.dart,User profile logic
66,on_boarding_controller.dart,lib/controllers/on_boarding_controller.dart,Onboarding logic
67,order_controller.dart,lib/controllers/order_controller.dart,Order management
68,order_details_controller.dart,lib/controllers/order_details_controller.dart,Order details logic
69,order_placing_controller.dart,lib/controllers/order_placing_controller.dart,Order placing logic
70,otp_controller.dart,lib/controllers/otp_controller.dart,OTP logic
71,phone_number_controller.dart,lib/controllers/phone_number_controller.dart,Phone number logic
72,rate_product_controller.dart,lib/controllers/rate_product_controller.dart,Product rating logic
73,redeem_gift_card_controller.dart,lib/controllers/redeem_gift_card_controller.dart,Gift card redemption logic
74,refer_friend_controller.dart,lib/controllers/refer_friend_controller.dart,Refer a friend logic
75,restaurant_details_controller.dart,lib/controllers/restaurant_details_controller.dart,Restaurant details logic
76,restaurant_list_controller.dart,lib/controllers/restaurant_list_controller.dart,Restaurant list logic
77,review_list_controller.dart,lib/controllers/review_list_controller.dart,Review list logic
78,scan_qr_code_controller.dart,lib/controllers/scan_qr_code_controller.dart,QR code scanning logic
79,search_controller.dart,lib/controllers/search_controller.dart,Search logic
80,signup_controller.dart,lib/controllers/signup_controller.dart,Signup logic
81,splash_controller.dart,lib/controllers/splash_controller.dart,Splash screen logic
82,view_all_category_controller.dart,lib/controllers/view_all_category_controller.dart,View all categories logic
83,wallet_controller.dart,lib/controllers/wallet_controller.dart,Wallet management logic
// ... existing code ... 
